publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,genre fiction,"Amazon Digital Services,  Inc.",141
1934,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,genre fiction,"Amazon Digital Services,  Inc.",142
2013,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,genre fiction,"Amazon Digital Services,  Inc.",143
2001,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,genre fiction,Random House LLC,144
1980,Firestarter,Stephen King,eng,Intermediate,3.85,142213,genre fiction,Macmillan,145
2013,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,genre fiction,"Amazon Digital Services,  Inc.",146
2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,genre fiction,"Amazon Digital Services,  Inc.",147
2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,genre fiction,Random House LLC,148
1939,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,genre fiction,"Amazon Digital Services,  Inc.",149
1937,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,genre fiction,"Amazon Digital Services,  Inc.",150
1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,genre fiction,"Amazon Digital Services,  Inc.",151
2004,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,genre fiction,Hachette Book Group,152
2001,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,genre fiction,HarperCollins Publishers,153
2013,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction,"Amazon Digital Services,  Inc.",154
2008,Gone,Michael  Grant,eng,Intermediate,3.85,144606,genre fiction,"Amazon Digital Services,  Inc.",155
2003,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,genre fiction,"Amazon Digital Services,  Inc.",156
2005,1776,David McCullough,eng,Intermediate,4.06,130293,genre fiction,Random House LLC,157
2001,Fool Moon ,Jim Butcher,eng,Excellent,4.04,111371,genre fiction,Macmillan,361
2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,genre fiction,"Amazon Digital Services,  Inc.",158
2012,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,genre fiction,Random House LLC,159
2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,genre fiction,"Amazon Digital Services,  Inc.",160
1999,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,genre fiction,"Amazon Digital Services,  Inc.",161
2008,Firefly Lane,Kristin Hannah,en-US,Intermediate,4.04,121966,genre fiction,"Amazon Digital Services,  Inc.",162
1987,Sphere,Michael Crichton,eng,Intermediate,3.77,128244,genre fiction,Random House LLC,163
2008,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812,genre fiction,Simon and Schuster Digital Sales Inc,164
2014,The Silkworm,"Robert Galbraith, J.K. Rowling",eng,Intermediate,4.03,120008,genre fiction,"Amazon Digital Services,  Inc.",165
1985,The Vampire Lestat,Anne Rice,eng,Intermediate,4.05,141299,genre fiction,"Amazon Digital Services,  Inc.",166
2011,State of Wonder,Ann Patchett,eng,Intermediate,3.85,124837,genre fiction,"Amazon Digital Services,  Inc.",167
2008,The Silver Linings Playbook,Matthew Quick,en-US,Intermediate,4.0,110939,genre fiction,"Amazon Digital Services,  Inc.",168
1869,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",eng,Intermediate,3.86,121112,genre fiction,"Amazon Digital Services,  Inc.",169
2005,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786,genre fiction,Penguin Group (USA) LLC,170
